Country,Lat,Long,CummulativeCases
US,37.0902,-95.7129,1680913
Brazil,-14.235,-51.9253,391222
Russia,60,90,362342
United Kingdom,55.3781,-3.436,265227
Spain,40,-4,236259
Italy,43,12,230555
Germany,51,9,181200
France,46.2276,2.2137,179887
Turkey,38.9637,35.2433,158762
India,21,78,150793
Iran,32,53,139511
Peru,-9.19,-75.0152,129751
Chile,-35.6751,-71.543,77961
Saudi Arabia,24,45,76726
Mexico,23.6345,-102.5528,74560
China Hubei,30.9756,112.2707,68135
Pakistan,30.3753,69.3451,57705
Belgium,50.8333,4,57455
Canada Quebec,52.9399,-73.5491,48607
Qatar,25.3548,51.1839,47207
Netherlands,52.1326,5.2913,45578
Belarus,53.7098,27.9534,38059
Ecuador,-1.8312,-78.1834,37355
Bangladesh,23.685,90.3563,36751
Sweden,63,16,34440
Singapore,1.2833,103.8333,32343
United Arab Emirates,24,54,31086
Portugal,39.3999,-8.2245,31007
Switzerland,46.8182,8.2275,30761
Canada Ontario,51.2538,-85.3232,27624
Ireland,53.1424,-7.6921,24735
South Africa,-30.5595,22.9375,24264
Indonesia,-0.7893,113.9213,23165
Colombia,4.5709,-74.2973,23003
Kuwait,29.5,47.75,22575
Poland,51.9194,19.1451,22074
Ukraine,48.3794,31.1656,21584
Egypt,26,30,18756
Romania,45.9432,24.9668,18429
Israel,31,35,16757
Japan,36,138,16623
Austria,47.5162,14.5501,16557
Dominican Republic,18.7357,-70.1627,15264
Philippines,13,122,14669
Argentina,-38.4161,-63.6167,13228
Afghanistan,33,65,11831
Panama,8.538,-80.7821,11447
Denmark,56.2639,9.5018,11428
"Korea, South",36,128,11265
